Subject_ID|eb_like_count|transit_like_count|comment_count|tag_count_json
30902348|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30903824|3|1|5|{"#eclipsingbinary":3,"like#eclipsingbinary":3,"#transit":1,"like#transit":1}
30903939|3|2|6|{"#eclipsingbinary":3,"like#eclipsingbinary":3,"#transit":2,"like#transit":2,"#hot_jupiter":1}
30903960|3|0|4|{"#close_binary":1,"#eclipsingbinary":3,"like#eclipsingbinary":3}
30904688|3|3|5|{"#transit":2,"like#transit":3,"#eclipsingbinary":3,"like#eclipsingbinary":3,"#planet":1,"#transits":1,"#single_transit":1,"#possibletransits":1,"#flares":1,"#systematic_effects":1}
30905361|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30905363|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30905367|3|0|4|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30905369|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30905374|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30906267|3|0|5|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30906269|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30908605|3|4|6|{"#transit":1,"like#transit":4,"#eclipsingbinary":3,"like#eclipsingbinary":3,"#flares":2,"#possibletransits":1,"#tce":2,"#transits":2}
30908840|3|0|4|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30908848|3|0|5|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30908980|3|0|4|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30909001|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30909034|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30909639|3|0|5|{"#eclipsingbinary":3,"like#eclipsingbinary":3,"#binary-stars":1}
30909640|4|0|5|{"#eclipsing-binary":1,"like#eclipsingbinary":4,"#eclipsingbinary":3}
30909910|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30910269|3|0|4|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30910546|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30910564|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30911002|4|0|5|{"#eclipsing-binary":1,"like#eclipsingbinary":4,"#eclipsingbinary":3}
30911130|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3,"#glitch":1}
30911146|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30911148|3|0|4|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30911294|3|1|4|{"#eclipsingbinary":3,"like#eclipsingbinary":3,"#transit":1,"like#transit":1}
30911597|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
30912174|3|0|3|{"#eclipsingbinary":3,"like#eclipsingbinary":3}
