67474119|V* FS Leo|bL*|9.31|9.04|||SBC9 2136, AG+15 1239, BD+15 2335, GSC 00862-00442, HIC 55952, HIP 55952, PPM 128273, SAO 99615, TYC 862-442-1, V* FS Leo, YZ 15 4435, 2MASS J11275850+1449556, Gaia DR1 3966393501762979456, Gaia DR2 3966393506058738560
67686223|V* BL Eri|EB*|12.13|11.335|11.162||ASAS J041148-1147.5, 2MASS J04114820-1147266, [GGM2006] 14887343, BD-12 818, PPM 213981, SV* HV 6277, SV* P 2612, V* BL Eri, uvby98 -001200818 V, NSVS 14887344, UCAC4 392-005131, 1SWASP J041148.18-114726.9, Gaia DR2 3189462062839263360
67707406|V* GS Boo|Al*|11.68|11.12|11.122|0.42|
67719432|V* AA Eri A|*||||0.53|
68032870|V* GI Boo|Al*|11.26|11.12||0.39|
68545734|TYC 2641-2308-1|*|12.76|12.08||0.21|
70442570|V* VZ PsA|Al*|5.71|5.66|||CD-33 16160, CPC 17 12271, CPD-33 6279, FK5 3814, GC 31598, GCRV 14220, GEN# +1.00214484, GSC 07501-01093, HD 214484, HIC 111809, HIP 111809, HR 8616, N30 4984, PPM 302847, ROT 3299, SAO 213981, SKY# 43067, SRS 44845, TD1 29239, TYC 7501-1093-1, UBV 19361, UBV M 26520, V* VZ PsA, uvby98 100214484, 2MASS J22385147-3304528, Renson 59400, WEB 19973, Gaia DR2 6600744231437427584
71298511|V* YZ Ant|Al*|10.67|10.58||0.13|
71612483|SDSS J132912.38+312324.1|BiC||||48.31|
72782654|V* GG Ori|Al*|10.92|||0.07|
73201833|CD-36 6246|PM*|10.56|9.95||1.25|
74627376|V* V483 Vel|Al*|8.54|8.38||0.25|
76073981|TYC 3107-2249-1|*|11.45|11.02||0.1|
77158150|TYC 7579-63-1|*|8.04|7.84||0.44|
77320223|TYC 2333-13-1|SB*|11.25|10.66||0.24|
77545160|BD+32 518|*|10.16|9.58||0.73|
77703308|CD-35 2104|Al*|12.31|11.58||0.16|
78076566|UCAC3 114-15247|PM*|13.59|12.37|12.07|1.03|
78450017|||||||
78568736|BD-22 1566|*|10.66|9.83||0.75|
78817217|HD 50645A|*|8.91|8.58||0.06|
79225651|HD 201427B|SB*|9.76|8.82||0.64|
79247714|HD 201579|*|11.15|10.7||0.37|
79271943|HD 201800|*|8.61|8.31|||Gaia DR1 6478461495998078976, CD-51 12863, CPC 0 19248, CPD-51 11627, GEN# +1.00201800, GSC 08430-00392, HD 201800, HIC 104786, HIP 104786, PPM 349207, SAO 246914, TYC 8430-392-1, UBV 18327, uvby98 100201800, 2MASS J21134034-5035381, Gaia DR2 6478461500294348544
79283165|HD 202103|**|5.902|5.719|||CCDM J21158-5316AB, CPC 19 8288, CPD-53 10015, CSI-53 10015 41, FK5 796, GC 29704, GCRV 71982, GEN# +1.00202103J, GSC 08793-00796, HD 202103, HIC 104978, HIP 104978, HR 8114, IDS 21086-5341 AB, N30 4694, PPM 349231, SACS 467, SAO 246929, SKY# 40475, TD1 27821, TYC 8793-796-1, UBV 18349, UBV M 25543, 2MASS J21154587-5315471, WDS J21158-5316AB, IRAS 21122-5328, ** FIN 329, Renson 56340, uvby98 100202103, Gaia DR2 6464469665075523840
79403459|V* BS Ind|bL*|10.7|8.9||1.56|
79548760|HD 21273|PM*|8.34|7.84|||2MASS J03241722-4505485, CD-45 1128, CPC 0 1633, CPD-45 335, GSC 08059-01209, HD 21273, HIC 15860, HIP 15860, PPM 307607, SAO 216299, SKY# 5115, TYC 8059-1209-1, uvby98 100021273, Gaia DR1 4846434705895718272, GEN# +1.00021273, Gaia DR2 4846434710191672320
80059889|HD 187390|*|10.73|10.27||0.42|
80254085|UCAC2 12343388|PM*|13.27|12.31|12.1|0.78|
80650858|V* BH Pup|Al*|8.92|9.02||0.08|
80806861|CD-44 4095|PM*|8.37|7.94||1.89|
83222019|TYC 4018-346-1|SB*|12|11.33||0.03|
85694057|HD 279617|*|10.81|10.31||0.19|
85711393|G 125-40|PM*|14.6||||LSPM J1953+3450, UCAC2 44016247, G 125-40, LP 282-6, LTT 15813, NLTT 48386, 2MASS J19530442+3450575, USNO-B1.0 1248-00377174, WISEA J195304.69+345056.9, Gaia DR2 2035540208846000768
